code,iso,country,region,total,CDI,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.1,B.2.4.2,B.2.4.3,B.2.4.4,B.2.4.5,B.2.4.6,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
,,,Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,最大值,65.01,69.67,100,100,100,100,82.22,100,100,100,100,65.39,87.53,100,100,84.82,100,87.64,89.51,100,72.74,93.03,100,69.47,80.23,67.86,99.82,99.36,91.41,36.2,80.69,100,98.25,100,99.51,99.44,99.87,36.43,85.12,92.1,100,100,77.36,73.32,86.5,100,100,100,100,100,49.11,100,100,74.2,100,100,100,100,100,100,69.6,100,81.3,95.76,89.4,67.86,66.82,73.86,67.43,99.39,46.51,77.88,58.95,65.68,80.42,66.67,76.79,76.37,66.94,66.14,64.64,63.56
,,,最小值,40.78,38.94,46.71,12.43,23.39,24.08,25.19,44.64,46.57,65.23,0,0,0,23.6,0,1.68,49.97,0,31.48,46.44,14.15,4.06,52.8,0,0,23.43,8.7,76.98,10.03,0.6,0.4,9.64,0,19.86,2.36,0.1,5.5,1.15,0.94,1.03,50.89,13.45,19.03,0,0,0,2,43.2,19.9,0.43,0,66.02,23.44,0,20.5,0,0,0,2.54,1.11,1.7,61.6,36.4,37.02,59.35,15.9,25.93,40.63,10.63,49.01,8.93,25.12,9.61,33.45,44.27,42.87,18.38,45.1,48.93,41.11,43.6,47.92
,,,四分之一位数,46.02,46.1,70.255,62.325,68.775,48.225,43.985,69.87,88.505,100,30.105,8.725,3.84,48.365,16.285,20.76,79.745,42.125,57.625,68.875,15.435,39.1,78.13,3.67,12.345,35.87,79.835,85.66,47.23,5.21,39.455,49.32,32.425,56.905,26.02,80.93,74.505,6.045,4.39,7.05,83.105,32.025,33.615,14.955,20,48.485,24.05,52.9,41.75,59.005,5.79,94.51,44.855,29.295,44.2,84.3,79.65,11.85,41.08,47.575,26.75,82.85,43.4,60.72,69.61,27.335,41.92,56.565,21.115,84.005,26.975,49.685,38.485,44.025,54.04,52.045,45.005,53.3,54.03,55.375,51.025,53.615
,,,四分之三位数,59.5,62.865,90.91,86.87,92.1,85.995,73.61,92.895,97.745,100,61.045,49.51,23.79,77.895,51.575,43.325,93.865,64.46,76.35,90.345,44.63,65.925,96.02,21.58,51.94,53.94,94.315,95.195,64.935,12.115,62.78,69.375,76.09,93.69,91.91,93.98,93.665,18.13,17.12,21.86,94.21,89.94,58.32,50.72,39.6,65.53,41.6,70.55,70.15,100,16.895,100,69.315,40.225,100,100,100,89.4,86.865,68.65,47.2,92.25,56.55,88.665,78.42,42.99,58.87,65.075,42.45,92.605,37.69,71.055,51.36,57.83,63.125,58.87,69.72,61.32,60.55,60.99,58.64,59.54
,,,中位数,53.48,54.78,84.93,76.91,86.14,70.88,61.4,79.88,90.55,100,45.73,32.88,12.26,62.96,26.79,30.61,86.97,51.43,69.44,77.66,15.65,52.9,88.07,11.32,37.35,48.07,87.64,91.58,54.1,9.17,52.64,62.08,53.18,78.63,81.42,87.47,87.89,11.93,8.34,12.23,88.11,59.78,45.37,31.38,31.2,57.79,33.6,64.4,54.4,93.81,11.89,99.61,56.02,34.39,70.6,100,95.9,51.7,57.64,51.37,34.9,87,47.3,82.57,73.76,33.48,51.96,62.2,28.14,88.4,32.88,63.27,47.93,50.62,57.29,55.63,57.05,57.2,57.18,57.25,55.43,56.44
,,,均值,52.95212766,54.6087234,82.41829787,73.2793617,79.04085106,66.87808511,58.2787234,78.96893617,88.82617021,98.34702128,45.7987234,31.10489362,18.70255319,63.43106383,32.55659574,34.17808511,85.20446809,49.86404255,66.03148936,78.56808511,29.81297872,51.74382979,85.66957447,15.26553191,33.57765957,45.76404255,83.47553191,90.30531915,53.83468085,9.772553191,50.98680851,59.01382979,52.70021277,75.00489362,66.70234043,78.97680851,77.78404255,13.21085106,12.48893617,16.98617021,87.14702128,58.38042553,45.58085106,32.25787234,31.84042553,58.38361702,39.55957447,63.91489362,59.06319149,77.24404255,12.85297872,96.21468085,57.64978723,36.01148936,68.99148936,86.12765957,83.76382979,50.12978723,60.8906383,55.72170213,35.4212766,86.29510638,50.77659574,75.40446809,74.04404255,35.99468085,50.27553191,61.44851064,31.53659574,86.89042553,31.80404255,59.42574468,44.35787234,51.04170213,59.63340426,55.57234043,55.13042553,57.49787234,57.34829787,57.43106383,55.04468085,56.60340426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code,iso,country,region,total,CDI,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.1,B.2.4.2,B.2.4.3,B.2.4.4,B.2.4.5,B.2.4.6,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
,,,Latin America and The Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,最大值,53.9,55.9,73.9,81.8,79.7,42.7,100.0,79.9,100.0,100.0,98.8,98.0,69.8,77.6,74.9,100.0,82.9,85.4,67.6,93.3,82.6,100.0,100.0,68.8,57.5,78.9,99.7,98.1,80.6,27.4,100.0,100.0,61.9,94.5,100.0,95.7,91.4,91.6,99.0,97.0,96.5,100.0,100.0,95.9,74.8,76.5,39.5,81.6,66.6,100.0,22.7,100.0,93.3,77.3,96.5,100.0,89.6,71.9,71.6,74.3,98.6,95.7,68.4,61.1,83.2,69.8,58.2,82.0,56.5,95.6,52.1,77.8,53.3,65.8,59.2,70.1,48.6,78.3,56.9,62.4,57.0,55.9
,,,最小值,39.7,37.6,29.8,18.2,34.2,11.9,23.9,52.3,33.6,71.3,28.1,34.2,7.5,1.1,2.6,8.9,0.0,37.4,0.0,56.2,0.0,40.3,42.4,29.7,19.6,0.0,9.2,79.5,25.4,0.7,18.4,23.6,17.9,32.0,1.7,1.3,0.5,0.5,0.8,3.6,77.3,10.1,44.3,0.0,0.0,27.1,15.7,21.9,9.6,4.6,3.5,65.6,25.2,12.2,19.4,22.7,0.0,0.0,9.1,20.0,6.6,0.0,39.2,25.7,52.9,23.0,19.8,43.3,21.9,50.6,19.3,40.4,21.5,45.4,39.6,47.7,16.0,27.8,45.2,41.1,46.7,48.9
