Scores,Indicators
48.96,B.2.4 Animal Biodiversity
43.85,B.2.4 Animal Biodiversity
41.6,B.2.4 Animal Biodiversity
36.55,B.2.4 Animal Biodiversity
46.82,B.2.4 Animal Biodiversity
21.87,B.2.4 Animal Biodiversity
39.98,B.2.4 Animal Biodiversity
36.35,B.2.4 Animal Biodiversity
51.36,B.2.4 Animal Biodiversity
51.05,B.2.4 Animal Biodiversity
36.07,B.2.4 Animal Biodiversity
46.7,B.2.4 Animal Biodiversity
37.71,B.2.4 Animal Biodiversity
35.5,B.2.4 Animal Biodiversity
21.87,B.2.4 Animal Biodiversity
52.34,B.2.4 Animal Biodiversity
20.43,B.2.4 Animal Biodiversity
27.22,B.2.4 Animal Biodiversity
37.99,B.2.4 Animal Biodiversity
