Scores,Indicators
18.22,B.2.3 Animal Nutritional Status
5.15,B.2.3 Animal Nutritional Status
80.58,B.2.3 Animal Nutritional Status
15.12,B.2.3 Animal Nutritional Status
4.4,B.2.3 Animal Nutritional Status
75.51,B.2.3 Animal Nutritional Status
40.54,B.2.3 Animal Nutritional Status
60.74,B.2.3 Animal Nutritional Status
58.47,B.2.3 Animal Nutritional Status
9.17,B.2.3 Animal Nutritional Status
46.54,B.2.3 Animal Nutritional Status
40.35,B.2.3 Animal Nutritional Status
63.79,B.2.3 Animal Nutritional Status
68.98,B.2.3 Animal Nutritional Status
26.19,B.2.3 Animal Nutritional Status
68.41,B.2.3 Animal Nutritional Status
46.47,B.2.3 Animal Nutritional Status
70.25,B.2.3 Animal Nutritional Status
36.02,B.2.3 Animal Nutritional Status
73.15,B.2.3 Animal Nutritional Status
14.66,B.2.3 Animal Nutritional Status
56.73,B.2.3 Animal Nutritional Status
76.72,B.2.3 Animal Nutritional Status
69.19,B.2.3 Animal Nutritional Status
20.97,B.2.3 Animal Nutritional Status
32.1,B.2.3 Animal Nutritional Status
77.04,B.2.3 Animal Nutritional Status
12.47,B.2.3 Animal Nutritional Status
38.99,B.2.3 Animal Nutritional Status
22.2,B.2.3 Animal Nutritional Status
49.57,B.2.3 Animal Nutritional Status
75.16,B.2.3 Animal Nutritional Status
63.27,B.2.3 Animal Nutritional Status
28.76,B.2.3 Animal Nutritional Status
29.43,B.2.3 Animal Nutritional Status
46.36,B.2.3 Animal Nutritional Status
25.3,B.2.3 Animal Nutritional Status
65.69,B.2.3 Animal Nutritional Status
58.68,B.2.3 Animal Nutritional Status
76.94,B.2.3 Animal Nutritional Status
88.24,B.2.3 Animal Nutritional Status
29.61,B.2.3 Animal Nutritional Status
52.45,B.2.3 Animal Nutritional Status
38.13,B.2.3 Animal Nutritional Status
43.98,B.2.3 Animal Nutritional Status
20.22,B.2.3 Animal Nutritional Status
61.44,B.2.3 Animal Nutritional Status
44.1,B.2.3 Animal Nutritional Status
28.56,B.2.3 Animal Nutritional Status
23.06,B.2.3 Animal Nutritional Status
24.07,B.2.3 Animal Nutritional Status
67.67,B.2.3 Animal Nutritional Status
72.83,B.2.3 Animal Nutritional Status
23.24,B.2.3 Animal Nutritional Status
22.91,B.2.3 Animal Nutritional Status
76.52,B.2.3 Animal Nutritional Status
7.98,B.2.3 Animal Nutritional Status
63.6,B.2.3 Animal Nutritional Status
19.12,B.2.3 Animal Nutritional Status
44.32,B.2.3 Animal Nutritional Status
63.81,B.2.3 Animal Nutritional Status
38.88,B.2.3 Animal Nutritional Status
16.71,B.2.3 Animal Nutritional Status
51.85,B.2.3 Animal Nutritional Status
34.76,B.2.3 Animal Nutritional Status
40.63,B.2.3 Animal Nutritional Status
44.06,B.2.3 Animal Nutritional Status
33.88,B.2.3 Animal Nutritional Status
13.53,B.2.3 Animal Nutritional Status
66.26,B.2.3 Animal Nutritional Status
56.43,B.2.3 Animal Nutritional Status
46.77,B.2.3 Animal Nutritional Status
24.68,B.2.3 Animal Nutritional Status
17.35,B.2.3 Animal Nutritional Status
38.07,B.2.3 Animal Nutritional Status
65.19,B.2.3 Animal Nutritional Status
26.72,B.2.3 Animal Nutritional Status
37.78,B.2.3 Animal Nutritional Status
11.34,B.2.3 Animal Nutritional Status
51.79,B.2.3 Animal Nutritional Status
49.02,B.2.3 Animal Nutritional Status
49.79,B.2.3 Animal Nutritional Status
77.88,B.2.3 Animal Nutritional Status
56.67,B.2.3 Animal Nutritional Status
31.09,B.2.3 Animal Nutritional Status
47.84,B.2.3 Animal Nutritional Status
61.61,B.2.3 Animal Nutritional Status
32.72,B.2.3 Animal Nutritional Status
35.53,B.2.3 Animal Nutritional Status
25.46,B.2.3 Animal Nutritional Status
52.37,B.2.3 Animal Nutritional Status
49.05,B.2.3 Animal Nutritional Status
27.55,B.2.3 Animal Nutritional Status
71.84,B.2.3 Animal Nutritional Status
64.44,B.2.3 Animal Nutritional Status
74.76,B.2.3 Animal Nutritional Status
73.56,B.2.3 Animal Nutritional Status
59.66,B.2.3 Animal Nutritional Status
67.39,B.2.3 Animal Nutritional Status
37.13,B.2.3 Animal Nutritional Status
33.99,B.2.3 Animal Nutritional Status
75.88,B.2.3 Animal Nutritional Status
63.14,B.2.3 Animal Nutritional Status
51.53,B.2.3 Animal Nutritional Status
12.74,B.2.3 Animal Nutritional Status
59.01,B.2.3 Animal Nutritional Status
9.56,B.2.3 Animal Nutritional Status
20.39,B.2.3 Animal Nutritional Status
60.43,B.2.3 Animal Nutritional Status
44.73,B.2.3 Animal Nutritional Status
59.81,B.2.3 Animal Nutritional Status
40.32,B.2.3 Animal Nutritional Status
32.02,B.2.3 Animal Nutritional Status
61.59,B.2.3 Animal Nutritional Status
38.04,B.2.3 Animal Nutritional Status
73.81,B.2.3 Animal Nutritional Status
89.28,B.2.3 Animal Nutritional Status
48.55,B.2.3 Animal Nutritional Status
69.28,B.2.3 Animal Nutritional Status
57.86,B.2.3 Animal Nutritional Status
30.44,B.2.3 Animal Nutritional Status
35.39,B.2.3 Animal Nutritional Status
38.87,B.2.4 Animal Biodiversity
46.16,B.2.4 Animal Biodiversity
15.96,B.2.4 Animal Biodiversity
28.95,B.2.4 Animal Biodiversity
37.2,B.2.4 Animal Biodiversity
49.57,B.2.4 Animal Biodiversity
50.2,B.2.4 Animal Biodiversity
58.95,B.2.4 Animal Biodiversity
58.61,B.2.4 Animal Biodiversity
51.06,B.2.4 Animal Biodiversity
36.62,B.2.4 Animal Biodiversity
48.4,B.2.4 Animal Biodiversity
48.47,B.2.4 Animal Biodiversity
45.77,B.2.4 Animal Biodiversity
52.36,B.2.4 Animal Biodiversity
45.74,B.2.4 Animal Biodiversity
32.43,B.2.4 Animal Biodiversity
44.6,B.2.4 Animal Biodiversity
47.38,B.2.4 Animal Biodiversity
57.73,B.2.4 Animal Biodiversity
43.82,B.2.4 Animal Biodiversity
45.51,B.2.4 Animal Biodiversity
29.53,B.2.4 Animal Biodiversity
45.36,B.2.4 Animal Biodiversity
45.74,B.2.4 Animal Biodiversity
29.41,B.2.4 Animal Biodiversity
35.69,B.2.4 Animal Biodiversity
36.59,B.2.4 Animal Biodiversity
46.98,B.2.4 Animal Biodiversity
21.47,B.2.4 Animal Biodiversity
35.12,B.2.4 Animal Biodiversity
32.4,B.2.4 Animal Biodiversity
33.81,B.2.4 Animal Biodiversity
23.27,B.2.4 Animal Biodiversity
52.81,B.2.4 Animal Biodiversity
46.86,B.2.4 Animal Biodiversity
29.79,B.2.4 Animal Biodiversity
47.82,B.2.4 Animal Biodiversity
26.48,B.2.4 Animal Biodiversity
53.99,B.2.4 Animal Biodiversity
24.64,B.2.4 Animal Biodiversity
53.26,B.2.4 Animal Biodiversity
22.41,B.2.4 Animal Biodiversity
47.93,B.2.4 Animal Biodiversity
22.74,B.2.4 Animal Biodiversity
41.1,B.2.4 Animal Biodiversity
45.01,B.2.4 Animal Biodiversity
