iso,code,country,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.1.1...13,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3
CYM,136,Cayman Islands,NA,NA,NA,NA,NA,11.74326666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,196,Cyprus,17.2944062,0.2,51.8,118,31.2,1.672016061,37.7,54.9,38.8,0.000144717,17.2944062,99.76519248,661.1934542,157.710687,97.7,100,83.1,50,28.773,NA,14.6,NA,36.4
CZE,203,Czech Republic,16.07124535,1.6,46.6,NA,20.4,NA,24,75.6,26.8,0,16.07124535,99.88047032,1241.217326,174.3607085,74.5,100,100,60.8,33.455,0.628,49.4,87,48.9
DEU,276,Germany,12.02876736,0.1,42.1,61.33,23.2,4.458668341,38.2,65.4,40.2,0.013722525,12.02876736,100,1294.506181,166.4811184,100,91.9,100,97,17.73,0.549,56.4,86.1,45.6
DJI,262,Djibouti,45.5496176,15.7,45,73,74.8,0.71924231,NA,47.8,100,0,45.5496176,75.99574579,317.7629488,NA,25,70,41,0,96.403,NA,7.6,90.9,64.3
DMA,212,Dominica,19.49315376,9.2,21,77.67,63.5,0.838645036,0,100,NA,0,19.49315376,NA,2798.768542,21.88,45.7,42.3,52.3,1,NA,NA,75.2,NA,44.3
DNK,208,Denmark,10.02965344,0.2,38.6,75.5,31.8,14.45047691,26.2,72.7,60.6,0,10.02965344,100,1040.766837,108.1105644,100,100,100,100,4.755,1.1,34.9,93.4,44.5
DOM,214,Dominican Republic,13.72632115,8.3,34,118,59.1,1.742664739,23.7,63.4,43,0.118806248,13.72632115,96.61749289,2235.304088,196.5582896,37.8,85.7,72.9,5.8,73.197,NA,39.6,64.6,44.1
DZA,12,Algeria,38.8840107,0.3,54.3,105.17,44.6,0.025005944,17.3,69.2,100,0.001711898,38.8840107,94.23913956,271.8102081,20.74612223,78.9,100,23.5,33.1,70.356,NA,7.1,80.7,75.4
ECU,218,Ecuador,14.88610066,6,32.8,103.83,55.9,1.50710449,38.6,36.2,34.4,0,14.88610066,95.01122298,26356.30725,386.8243285,50,25.2,31.6,0,76.219,NA,47.4,74.3,48.9
EGY,818,Egypt,86.99945205,0.1,52.3,102,60.4,1.622988267,61.1,100,50.6,0.001136347,86.99945205,99.38324098,10.36886297,569.1232417,85,54.3,58.4,42,75.519,NA,10.6,97,77.1
ERI,232,Eritrea,48.03019868,67.9,43.8,118,95,1.205559922,100,42.9,100,NA,48.03019868,NA,820.4180968,6.799724638,10.3,64.2,49.9,0,NA,NA,10.7,97.3,59.6
