code,iso,country,source,variable,construct,y1970,y1980,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
400,JOR,Jordan,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.59,0.6,0.62,0.63,0.63,0.65,0.67,0.597,0.597,0.597,0.621,,
398,KAZ,Kazakhstan,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,0.54,0.456,0.522,0.516,0.516,0.603,0.596,0.595,0.627,0.571,,
404,KEN,Kenya,UNSD,Population connected to wastewater treatment,CXN,,,,0.049,,,,,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,,,,,
414,KWT,Kuwait,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
418,LAO,Laos,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,
428,LVA,Latvia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,0.674,0.724,0.681,0.676,0.669,1,1,1,1,1,1,1,,,,
422,LBN,Lebanon,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,
426,LSO,Lesotho,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
430,LBR,Liberia,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,
434,LBY,Libya,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,
438,LIE,Liechtenstein,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,,
440,LTU,Lithuania,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,0.741,0.742,0.754,0.767,,
442,LUX,Luxembourg,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,1,1,,,,1,,,,1,,,,,,,0.987,1,1,1,0.99,0.985,,
450,MDG,Madagascar,UNSD,Population connected to wastewater treatment,CXN,,,,0,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,
454,MWI,Malawi,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
458,MYS,Malaysia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,0.662,0.693,0.731,0.737,0.725,0.737,0.751,0.766,0.777,,
462,MDV,Maldives,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.38,0.41,0.47,0.5,0.5,,,,,
466,MLI,Mali,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,0.231,,0.232,,
470,MLT,Malta,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,0.13,0.13,0.13,0.13,0.13,0.158,0.159,0.177,0.18,0.151,0.15,0.11,0.101,0.165,0.234,0.207,1,1,1,1,1,,
584,MHL,Marshall Islands,UNSD,Population connected to wastewater treatment,CXN,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
478,MRT,Mauritania,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
480,MUS,Mauritius,UNSD,Population connected to wastewater treatment,CXN,,,,0.1,,,,,0.1,0.1,0.1,0.1,0.15,0.2,,,,,,,0.19,0.194,0.195,0.201,0.21,0.222,0.23,0.24,0.25,,
484,MEX,Mexico,UNSD,Population connected to wastewater treatment,CXN,,,,,,,0.218,,,,,,,0.229,0.252,0.277,0.297,0.315,0.35,0.361,0.383,0.402,0.421,0.448,0.465,0.475,0.502,0.527,0.559,0.582,0.63
498,MDA,Moldova,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,0.53,0.54,,,,,,,,,,,,,,,,,
492,MCO,Monaco,UNSD,Population connected to wastewater treatment,CXN,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
496,MNG,Mongolia,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,
499,MNE,Montenegro,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.1,0.11,0.15,0.17,0.18,0.18,0.18,0.18,,,,,
504,MAR,Morocco,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,
508,MOZ,Mozambique,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
104,MMR,Myanmar,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
516,NAM,Namibia,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,
524,NPL,Nepal,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,
528,NLD,Netherlands,UNSD,Population connected to wastewater treatment,CXN,,,,0.98,0.98,0.98,0.99,0.99,0.994,0.99,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,,
554,NZL,New Zealand,UNSD,Population connected to wastewater treatment,CXN,,,,0.8,,,,,0.8,0.8,0.8,0.8,0.8,0.808,0.805,0.805,0.808,0.811,0.813,0.815,0.816,0.817,0.817,0.818,0.82,0.82,0.82,0.82,0.841,,
558,NIC,Nicaragua,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,
562,NER,Niger,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,
566,NGA,Nigeria,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,,,,,
408,PRK,North Korea,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,
807,MKD,North Macedonia,UNSD,Population connected to wastewater treatment,CXN,,,,0.05,,,,,0.05,,,,0.05,0.05,0.06,0.06,0.06,0.06,0.065,0.07,0.07,0.07,,,,,,,,,
